name,system
Desert Strike: Return to the Gulf,Amiga
Desert Strike: Return to the Gulf,Game Boy
Desert Strike: Return to the Gulf,Game Boy Advance
Desert Strike: Return to the Gulf,Game Gear
Desert Strike: Return to the Gulf,Genesis
Desert Strike: Return to the Gulf,Lynx
Desert Strike: Return to the Gulf,Sega Master System
Desert Strike: Return to the Gulf,Super Nintendo Entertainment System
Desert Strike: Return to the Gulf,PC
Breakfree,PC
Hyperballoid Deluxe: Survival Pack,PC
The Chessmaster 2000,Amiga
The Chessmaster 2000,Amstrad CPC
The Chessmaster 2000,Apple II
The Chessmaster 2000,Atari ST
The Chessmaster 2000,Commodore 64
The Chessmaster 2000,MSX
The Chessmaster 2000,ZX Spectrum
The Chessmaster 2000,PC
Bass Avenger,Mac
Bass Avenger,PC
WWE SmackDown! vs. RAW 2007,PlayStation Portable
WWE SmackDown! vs. RAW 2007,PlayStation 2
WWE SmackDown! vs. RAW 2007,Xbox 360
Camelot Warriors,Amstrad CPC
Camelot Warriors,Commodore 64
Camelot Warriors,MSX
Camelot Warriors,ZX Spectrum
Super Spy Hunter,Nintendo Entertainment System
Fritz 9: Play Chess,PC
The Real Deal 2,PC
Gothmog's Lair,Commodore 64
Blade & Sword,PC
Premier Manager 98,PlayStation
Premier Manager 98,PC
Mary-Kate and Ashley: Sweet 16: Licensed to Drive,PlayStation 2
Mary-Kate and Ashley: Sweet 16: Licensed to Drive,GameCube
Kampfgruppe,Amiga
Kampfgruppe,Apple II
Kampfgruppe,Commodore 64
Kampfgruppe,Atari 8-bit
Kampfgruppe,PC
EGA-Roids,PC
Sportfischen Professional,PC
Metal Slug X: Super Vehicle - 001,PlayStation
Metal Slug X: Super Vehicle - 001,Neo Geo
Metal Slug X: Super Vehicle - 001,Arcade
Metal Slug X: Super Vehicle - 001,Wii Shop
Aisle,PC
Burntime,Amiga
Burntime,PC
Land of Legends,PC
The X-Files Game,Mac
The X-Files Game,PlayStation
The X-Files Game,PC
Dragon's Lair,Amiga
Dragon's Lair,Game Boy
Dragon's Lair,Game Gear
Dragon's Lair,Super Nintendo Entertainment System
Dragon's Lair,Amstrad CPC
Dragon's Lair,Atari ST
Dragon's Lair,Commodore 64
Dragon's Lair,ZX Spectrum
Dragon's Lair,Mac
Dragon's Lair,PlayStation 2
Dragon's Lair,Nintendo Entertainment System
Dragon's Lair,3DO
Dragon's Lair,CD-i
Dragon's Lair,Jaguar
Dragon's Lair,Sega CD
Dragon's Lair,Xbox
Dragon's Lair,Wii
Dragon's Lair,Game Boy Color
Dragon's Lair,Arcade
Dragon's Lair,Xbox Live Marketplace
Dragon's Lair,PlayStation Network (PS3)
Dragon's Lair,PC
Dragon's Lair,iPhone
Dragon's Lair,DSiWare
Dragon's Lair,RDI Halcyon
Dragon's Lair,PlayStation Network (PSP)
Dragon's Lair,Android
Rocky Racers,PC
Skramble,Commodore 64
Skramble,VIC-20
Skramble,Dragon 32/64
Covert Front: Episode One - All Quiet on Covert Front,PC
BALLOONrain,PC
Pogo,ZX Spectrum
Romantic Encounters at the Dome,PC
Drug Watch,ZX Spectrum
The Ninja,Sega Master System
The Ninja,MSX
Slam City with Scottie Pippen,Sega CD
Slam City with Scottie Pippen,Sega 32X
Slam City with Scottie Pippen,PC
Batman Begins,Game Boy Advance
Batman Begins,PlayStation 2
Batman Begins,GameCube
Batman Begins,Xbox
NATO Commander,Apple II
